label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles,elapsed_time,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE
ntruprime,17169146,17161491,17159878,17170902,17216763,17227855,17233738,17231896,17230716,17237921,17250894,17249684,0.005233064,7208.0,1408.0,496.0,132.0,108.0,4224.0,52.0
classic,2014937935,2013286517,2013277326,2013087329,2006548434,2000449370,2000455720,2000458437,1974419224,1967966295,1967981231,1964916338,0.609255339,9759.588235294117,6904.470588235294,1831.764705882353,947.8235294117648,196.0,4224.0,63.88235294117647
hqc,320924500,320261530,318919070,318124530,313972380,313989390,313573182,303551361,303545265,303540780,303541872,303520855,0.09169714,7820.689655172414,5300.9655172413795,804.6896551724138,132.0,108.0,4224.0,59.86206896551724
ntruprime,66192635,66206560,66016584,61448575,61446817,61431996,61401213,61390527,61386941,61376712,54752824,17633685,0.005672922,7832.0,5248.0,812.0,132.0,108.0,4224.0,56.0
hqc,320498915,320486437,320484639,320500902,320495796,320485321,320482215,287259794,287203128,284827079,278174328,278143689,0.085805339,7802.666666666667,5239.466666666666,786.6666666666666,132.0,108.0,4224.0,56.0
kyber,46580498,46598725,46622048,46636321,46644132,46670578,46681549,46706055,46720541,46735510,46748501,46750598,0.014452963,702656.0,1408.0,40848.0,132.0,568.0,8.0,76.0
bike,89925871,89932390,89934115,81115126,81085487,68895314,68860446,44258014,41830843,41792972,41772258,41757809,0.013261713,6324.0,4352.0,636.0,399.0,108.0,3212.0,57.0
rsa,7120494591,7120552728,7120580321,7120611873,7120633783,7120654163,7120675799,7120691604,7120711273,7120739222,7120753062,7120790407,2.214399866,2944.0,1536.0,236.0,132.0,120.0,1796.0,48.0
sike,220942484,220928373,216975232,216072206,210230363,210216281,210208352,210195273,210192873,210188317,210174195,202074231,0.062665149,703015.4285714285,1828.5714285714287,41075.42857142857,132.0,660.0,8.0,76.0
hqc,577982959,578067644,578101034,578124350,578143147,578166399,578233197,578277716,578309572,578338895,578356455,578359924,0.174091114,7853.333333333333,5240.888888888889,804.8888888888889,156.44444444444446,108.0,4224.0,56.0
ecdh,97709346,77613526,77592643,77588604,42051108,41990060,34265275,34237371,34207199,34197685,34183769,34164854,0.010655638,7740.0,5504.0,844.0,132.0,4.0,4224.0,56.0
kyber,73266140,73297142,73323603,73357898,73396935,73412865,73455669,73496484,73537069,73583237,73618318,73628146,0.023077373,356442.0,908.0,20704.0,132.0,730.0,936.0,58.0
kyber,128971385,125429543,125417673,125419764,125422863,96985350,93741583,93720368,77610400,77048835,69061646,67229627,0.02233453,702656.0,1408.0,40848.0,132.0,568.0,8.0,72.0
frodokem,173785982,173815200,173835158,173866162,173898423,173915593,173945095,173960257,173968516,173985653,173995836,174004085,0.056933222,8027.272727272727,5352.727272727273,892.0,139.27272727272728,220.0,4224.0,56.0
kyber,115114141,115104112,115119481,77739791,77709967,77695578,77688070,52442110,43100612,43054452,42591571,42558711,0.013356697,356314.0,780.0,20576.0,132.0,730.0,936.0,60.0
frodokem,143787709,143793353,143814780,143821912,143818828,143841663,143853801,143834155,100381269,100353634,100002108,97115360,0.028815846,8038.857142857143,5449.142857142857,892.0,150.85714285714286,220.0,4224.0,60.0
hqc,273368493,273350979,273362097,273401812,273425780,273439681,273425368,273427897,273439583,273447311,273466681,273485710,0.08275294,7812.0,5267.2,796.0,132.0,108.0,4224.0,67.8
sike,726961169,725232591,699707072,699471527,699461231,699450260,699448367,698822350,698812996,698801909,695184299,693810048,0.226408984,703292.9411764706,1894.9019607843138,41352.94117647059,132.0,660.0,8.0,76.0
ecdh,72210919,86239930,84925679,79804981,62019601,61999651,60116940,59255886,59278280,59510148,59966083,61895251,0.019690024,7580.0,5248.0,684.0,132.0,4.0,4224.0,60.0
ntruprime,64295510,63863362,63881930,63897657,63893794,63323674,63316194,43218044,43188887,43125957,19449185,18103830,0.00601262,7208.0,1280.0,496.0,132.0,108.0,4224.0,56.0
ecdh,72441494,69557199,67209769,67205231,36979431,36931736,35634495,35610305,35592939,35562032,35552412,35369321,0.011784314,7442.0,4480.0,546.0,132.0,4.0,4224.0,58.0
rsa,1426689774,1426663631,1421742526,1421772587,1421776631,1421792670,1421792286,1421799092,1421807748,1421818568,1421833512,1421128087,0.443821657,2944.0,1536.0,236.0,132.0,120.0,1796.0,44.0
sike,246454320,246429312,246422382,246423137,246416170,246408464,246400620,246395984,246411613,246418557,246286044,205216003,0.063651062,703308.0,1877.3333333333333,41368.0,132.0,660.0,8.0,80.0
classic,1046668987,1047218935,1047212379,1047238069,1047237332,1047249639,1047269332,1047302925,1047319695,1047339880,1047353703,1047362983,0.319951029,8981.1875,6190.375,1307.1875,661.9375,199.0,4187.125,67.5
frodokem,121597595,96916782,96882931,96879375,96916798,96938139,58083478,58034653,56204557,56201271,54514118,54498103,0.016676972,8784.0,3260.8,642.4,132.0,486.4,3280.0,52.0
ntruprime,51100313,51065371,51073783,50998364,51006741,18500836,18450148,18436749,18429000,18423686,18410755,18393078,0.005568842,7552.0,4736.0,532.0,132.0,108.0,4224.0,58.0
bike,42039312,42047804,42036408,41091181,36027145,35915294,35092676,34485924,34099837,34089966,24724304,24694041,0.00747755,7232.0,1536.0,508.0,132.0,108.0,4224.0,56.0
sike,670645449,670661879,620767657,620733625,620723327,620725492,620720584,618381033,618376445,618374294,618330490,618326359,0.18733905,643017.9130434783,1899.8260869565217,37797.217391304344,132.0,680.1739130434783,169.3913043478261,80.8695652173913
ecdh,29167251,29189438,29171779,29199826,29196966,29190245,29181863,29212407,19469314,19464865,19462652,19447954,0.005871395,9972.0,152.0,304.0,132.0,892.0,1864.0,40.0
classic,1048170569,1048191439,1048206746,1048232797,1048232328,1048259433,1048276363,1048279115,1048308622,1048326690,1048349475,1016438402,0.328004882,9776.778761061947,6907.469026548672,1840.0,956.7787610619469,196.0,4224.0,68.0
hqc,484979172,484968999,484951068,484950957,484918544,484898465,481221426,480817210,480802413,467255693,467199018,438211141,0.134497508,8004.0,5101.0526315789475,808.0,164.8421052631579,149.26315789473685,4099.789473684211,58.94736842105263
kyber,59367911,59391906,59411944,59435033,59461192,59961353,59986241,60009805,60033927,60080282,60100404,60109085,0.019144308,702656.0,1408.0,40848.0,132.0,568.0,8.0,80.0
rsa,1927844124,1915712531,1913487062,1913490085,1903355317,1878059004,1878039441,1878029262,1878065643,1877843874,1877862675,1871550351,0.560146725,2944.0,1536.0,236.0,132.0,120.0,1796.0,48.0
hqc,619768395,619778309,596486705,591905881,587668120,587693518,587684443,581915409,581900126,575844014,569299081,569252015,0.176514643,7955.783783783784,5272.864864864865,821.6216216216217,170.7027027027027,129.1891891891892,4160.216216216216,59.891891891891895
frodokem,90762361,90763343,90756260,46619269,46626499,46625682,46619707,46609491,46642741,46642379,45495990,45491573,0.013710466,8465.333333333334,3677.3333333333335,493.3333333333333,132.0,441.3333333333333,3437.3333333333335,56.0
rsa,7904530070,7904231795,7904218197,7904202292,7903442463,7903153687,7902898709,7902592232,7899610966,7853365082,7853272847,7853240978,2.467381078,2944.0,1536.0,236.0,132.0,120.0,1796.0,44.0
ecdh,79916815,79928311,79961125,79988737,80002554,80013699,80026453,80037780,80063231,80087127,80514510,80529140,0.025532547,7740.0,5504.0,844.0,132.0,4.0,4224.0,56.0
hqc,632550668,621745213,621765007,621789896,613909317,612605719,612255765,612284047,612293832,612291801,611478770,611470504,0.189648728,7890.222222222223,5376.0,836.0,162.22222222222223,108.0,4224.0,56.0
kyber,118785647,77561937,63369714,63272675,62773821,62759730,60246298,60244195,60229408,60188847,60147210,60126394,0.018805043,702656.0,1408.0,40848.0,132.0,568.0,8.0,80.0
classic,1398287816,1398285927,1379160308,1379032569,1378953435,1378942551,1353034885,1352190541,1352171343,1352150972,1350968313,1350923120,0.407286131,8976.281690140846,6308.056338028169,1324.112676056338,680.169014084507,188.0,4224.0,63.88732394366197
ecdh,53237500,53217575,52413832,52221843,52213475,37811859,37766934,37743012,34413602,33175892,32902046,32893362,0.010566276,7541.333333333333,4565.333333333333,645.3333333333334,132.0,4.0,4224.0,56.0
bike,55508562,48651612,48574070,29585913,29551690,29494897,29452641,29413454,29354355,29341381,29116471,25672905,0.007921108,8634.0,1932.0,284.0,132.0,500.0,3044.0,50.0
frodokem,108773022,101941848,101912768,57977482,57958988,57985725,57976011,57729699,54922070,54887078,54879777,54704793,0.016450161,7880.0,5171.2,756.0,132.0,216.0,4224.0,56.0
sike,108912745,108886434,108898686,108884824,108615462,108903439,106879229,106926879,106934185,106977354,106995625,107008697,0.032018671,703154.4,1664.0,41214.4,132.0,660.0,8.0,74.4
classic,2286529927,2286537620,2261789417,2259515728,2255004342,2255005327,2244259261,2237501979,2236514471,2234030389,2232986012,2232965947,0.69007692,9769.521126760563,6355.098591549296,1829.1830985915492,942.3380281690141,200.90140845070422,4207.380281690141,63.80281690140845
ntruprime,48403597,41684104,41319945,40129368,40117593,40101180,40088369,40088778,40088917,40086594,40074231,39882771,0.011977343,7272.0,3456.0,252.0,132.0,108.0,4224.0,56.0
hqc,334579363,334608356,334625437,334646077,334660582,334667819,334684650,334702846,334721850,334744149,334759260,334779476,0.105646668,7800.0,5229.714285714285,784.0,132.0,108.0,4224.0,59.714285714285715
kyber,122105407,122109949,121219566,113780235,74503648,64892062,64834781,64811065,64811487,60464896,60447847,60429566,0.019097661,702656.0,1408.0,40848.0,132.0,568.0,8.0,80.0
bike,54221554,54207568,54253581,54269499,54281008,54296675,54307805,54326159,54351218,54373336,54390768,54393456,0.017067903,7701.333333333333,4906.666666666667,637.3333333333334,164.0,108.0,4224.0,56.0
ntruprime,63395632,63415912,63398182,63393264,63394093,52268677,52269048,52272111,66263081,66321920,66320041,66322968,0.020012621,7208.0,1536.0,496.0,132.0,108.0,4224.0,52.0
hqc,650297401,650331103,650353675,650388180,646413009,646421535,644060441,641118309,641102336,641103636,641084599,641069695,0.199863464,7880.977777777778,5333.333333333333,823.5555555555555,165.42222222222222,108.0,4224.0,59.91111111111111
hqc,613642648,613682497,613741648,613794791,613844088,613924604,614023954,614049817,614099608,614138678,614171332,614184932,0.18832475,7874.125,5320.0,818.5,163.625,108.0,4224.0,56.0
frodokem,133699691,97539505,97510263,85319285,85306250,85297463,85286862,85277314,85269108,85257403,85241457,85232471,0.025857344,7988.0,5184.0,845.3333333333334,146.66666666666666,220.0,4224.0,56.0
frodokem,171760471,148003847,147985287,146394036,146385278,146370233,146353179,146340449,136470620,132604282,132577578,132547554,0.043161424,8044.0,5452.8,892.0,156.0,220.0,4224.0,56.0
rsa,3778429954,3754859474,3754843723,3754084846,3748293890,3742820249,3742805643,3742793933,3733017321,3733005919,3732990717,3732975262,1.16051174,2969.933579335793,1530.8929889298893,236.2509225092251,132.0,122.84870848708488,1796.2509225092251,47.98523985239852
bike,59195425,52143509,48047465,47400997,47393432,47395952,47421082,47408089,47398628,47390500,47376460,47109386,0.014286216,8001.0,5216.0,692.0,393.0,108.0,4224.0,63.0
frodokem,102241664,102241950,102274126,68507315,68457435,68497434,68478779,55646696,55628098,55614764,55604325,55343592,0.016790372,7932.571428571428,5266.285714285715,808.5714285714286,132.0,216.0,4224.0,63.42857142857143
ntruprime,78269980,75622294,45065942,40742910,35666996,34933675,31625341,31602921,20781000,19091463,17298451,17258897,0.00555796,3918.0,2624.0,406.0,68.0,54.0,2112.0,34.0
hqc,339552611,339554943,339587974,336645006,334264942,333014195,295321204,295278510,295262250,295224195,295131002,295075039,0.091294357,8106.5,4707.0,759.0,132.0,206.0,3929.0,57.5
rsa,10702125666,10702172474,10702195531,10702223929,10697295786,10697303022,10697293991,10697310053,10697310579,10697313810,10678348515,10676504553,3.407901385,2954.536731634183,1533.9250374812593,236.10194902548724,132.0,121.15742128935533,1796.1019490254873,43.99400299850075
classic,1221572224,1221614040,1221551026,1221533928,1221547969,1216759976,1215704920,1208035318,1208011538,1207989341,1195122250,1195043405,0.361855215,8988.0,6216.5970149253735,1332.0,684.0,188.0,4224.0,64.0
ntruprime,58119768,58112483,58119205,58123533,23508750,23485407,20396460,20371954,19953633,17806464,17601550,17585586,0.005770487,8622.0,2060.0,278.0,132.0,500.0,3044.0,48.0
sike,185440570,185458735,185471162,185475741,185492246,185483401,181036213,178922077,178286828,134589712,130797620,126698496,0.038933045,703052.0,1920.0,41112.0,132.0,660.0,8.0,80.0
sike,145761460,145728978,145704588,145708659,140355762,140389816,138397425,118199494,118155481,118142198,118144740,92922209,0.027992267,703222.6666666666,1777.7777777777778,41282.666666666664,132.0,660.0,8.0,84.0
sike,165249517,165271204,165289244,165308346,165324139,165389564,165401837,165416523,165430139,165441645,165462155,165474416,0.053493151,703256.8,1843.2,41316.8,132.0,660.0,8.0,76.0
ecdh,95936741,95949231,95575504,65613761,65581484,65573585,65609144,65642684,65631797,39156455,39107111,39087874,0.011359144,7640.666666666667,5162.666666666667,744.6666666666666,132.0,4.0,4224.0,60.0
kyber,83952941,83958642,83810847,83797448,83787573,81844708,81826559,59099657,59018019,58997190,32878967,32867299,0.009726871,356314.0,780.0,20576.0,132.0,730.0,936.0,56.0
hqc,392358996,392162740,392159346,382787438,381427364,381410224,358713130,358510249,358496440,346965521,346938539,346888653,0.11636521,7812.869565217391,5170.086956521739,810.2608695652174,132.0,108.0,4224.0,59.65217391304348
