label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles,elapsed_time,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE
Dilithium5.out,87552848,86186417,84782942,84596328,84604145,80926346,42595172,42553004,42524800,42517524,42506841,42480310,0.012900647,9904.0,3072.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,68268995,65742787,62222478,62195739,39529752,37742776,26915246,17644923,17566982,17539729,17055209,17031006,0.005377796,10332.0,4992.0,676.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,47807453,47828276,47832624,47828246,47845160,47846514,18447161,18377163,18360463,18347359,18319774,18277424,0.005475369,10464.0,5120.0,808.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,74031417,69446082,69435292,69434641,69427027,69412264,41061401,46414840,46190738,46191188,44784202,44770224,0.013750153,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,64402474,62961242,62915058,62858809,62878328,55732969,17858826,17799558,17757467,17728776,17713258,17706599,0.00526295,10464.0,5120.0,808.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,59617722,59649804,59656954,59667691,59684857,59695086,59702303,59741992,59750544,59762922,59798876,59825171,0.018579431,9840.0,1920.0,116.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,70556841,69807077,67862811,67441937,66602111,66590352,26734209,26184032,26168813,26140901,24551492,17445233,0.005404776,9904.0,4096.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,67055627,59787947,58967060,58953825,58734141,54725694,27893899,27844751,27799542,27795493,20202003,19520234,0.006090177,9904.0,4096.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,57734440,57702465,56843068,56823293,56823748,56808710,20350638,20304364,20286229,20266990,20078787,17740206,0.005499323,10464.0,6016.0,808.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,16841645,16880352,16872117,16884935,16903901,16899150,16911161,16922162,16930081,16943635,16955765,16955220,0.005158966,9904.0,4096.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,61638045,59067479,53536554,53518456,53527042,53531111,17967259,17920573,17899532,17893480,17884805,17850177,0.005693237,10464.0,6144.0,808.0,132.0,2308.0,4224.0,68.0
Dilithium5.out,69488517,73185365,73170782,73215188,74454607,73843188,74663814,73720318,73708806,73707446,73696827,71966992,0.02308521,9904.0,2944.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,26591165,26649701,26662458,26698534,26728673,26760796,26784051,26804187,26816861,26832814,26849182,26853564,0.008805848,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,29411926,29460144,29475614,29494189,29507740,29516604,29531557,29552998,29569899,29590349,29599698,29633732,0.009830165,9904.0,3584.0,248.0,132.0,2308.0,4224.0,68.0
Dilithium5.out,90290879,90282756,90286087,90281263,64497711,63825573,28402755,26570285,25799258,18384759,18341920,18318481,0.005990141,0,0,0,0,0,0,0
Dilithium5.out,63306447,58454869,54316449,47585332,30301877,30285782,18522823,17863712,17844831,17570277,17554433,17547268,0.005743844,10180.0,4864.0,524.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,17100803,17142322,17151922,17158591,17182907,17206063,17212489,17224605,17232107,17244432,17251872,17251980,0.005568887,9904.0,3584.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,71300040,71304163,71303589,71281408,44982024,44820764,33130338,30181090,25166578,25112735,25091608,19551208,0.006291082,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,75604843,75632470,75684764,75735217,75744309,75735548,52738777,52746368,54464705,54808543,56210840,51720437,0.015714634,9840.0,1664.0,492.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,52483078,52506208,52499090,52507044,52524693,52529462,52543855,52561592,52594017,52604053,52615439,52618086,0.017358472,10332.0,4992.0,676.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,48253109,48248563,48022528,48028269,43053532,42078989,17510952,17490062,17471191,17458921,17459846,17463843,0.005416415,9904.0,4352.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,62555341,62602860,62624969,62646077,62669923,62684995,62702282,62718542,62735805,62749150,62760613,62768295,0.020883737,9840.0,1280.0,492.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,62163107,60357060,60349864,59939884,56240562,56238545,20320856,20275024,19189875,19186176,19182132,19161327,0.006328119,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,61561185,59513737,56252102,56260679,54883161,54872236,22337000,22293929,22281904,22245157,22075610,18005206,0.005463197,10464.0,5120.0,808.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,64225828,64097287,63946071,63940612,56308042,56272202,26356994,20474463,20179802,18006814,17976491,17947922,0.005745161,10464.0,5120.0,808.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,17060129,17115787,17144225,17150078,17187848,17197749,17216953,17236301,17255398,17257044,17242417,17244125,0.005390321,10464.0,6016.0,808.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,29546627,29574850,29623403,29641749,29659931,29681456,29701672,29721585,29741090,29752307,29763719,29777283,0.009695949,0,0,0,0,0,0,0
Dilithium5.out,67377080,67369335,66153402,66139045,65826498,65812659,33003537,32964338,32118785,31877426,21308956,17780382,0.005862032,10332.0,4992.0,676.0,132.0,2308.0,4224.0,68.0
Dilithium5.out,67089365,66949322,66949769,62031833,62021905,62010531,25073366,24983785,24959176,20242298,19119725,19087965,0.005738956,10180.0,4864.0,524.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,65646660,61948356,65104215,65103704,65109945,64857132,73592449,73605690,73595069,73580971,73843550,63550272,0.020600541,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,55739203,54509962,52437515,52434251,47166166,47128908,17640928,17594195,17584110,17568357,17561648,17536062,0.00530466,10184.0,5120.0,528.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,64142821,64152249,64157354,64165439,64167174,64184787,19317656,19275344,19266040,19261613,19266300,19268129,0.005835232,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,59471600,59480559,59485070,59487757,59596746,64139819,51900535,51850225,51804943,51793423,51777784,51767331,0.015931251,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,73989386,72867499,72867585,72351730,72340783,72345769,33910206,31203653,31174277,22081559,21880157,18043771,0.00599773,0,0,0,0,0,0,0
Dilithium5.out,59053626,59044248,59040274,59056795,59064703,59113500,30347772,30083195,29553761,18579995,18559682,18567826,0.006183582,0,0,0,0,0,0,0
Dilithium5.out,48714168,48742281,48774389,48769538,48780641,48789119,48803647,48783992,48797285,48808757,48819291,48879116,0.01482759,10464.0,5120.0,808.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,41247562,41272928,41286761,41303703,41313882,41321782,41338919,41356696,41371221,41380322,41390569,41392900,0.012934472,9840.0,1664.0,492.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,55620789,55646637,55648093,55660206,55685016,55710737,55770891,55788992,55800404,55822165,55836839,55859001,0.016750354,0,0,0,0,0,0,0
Dilithium5.out,60733652,54334670,54316343,54305357,54277006,54261444,35658920,35620544,35604770,23869928,17200454,17145184,0.005700047,9840.0,1280.0,492.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,27594788,27618944,27650727,27663647,27684343,27694681,27706810,27715053,27726678,27740908,27755685,27756081,0.009062378,9840.0,2048.0,116.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,27966982,27987455,27978358,27999676,28066501,28078843,28099300,28082535,28092141,28111833,28134236,28139000,0.00908844,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,51935141,51727103,49981933,49993615,48581922,47408001,41671051,37797562,37770992,17511288,17451703,17434349,0.005608137,7616.0,384.0,420.0,132.0,2308.0,2604.0,48.0
Dilithium5.out,75666580,75694707,75710797,75727270,75743488,75775159,75795349,75819270,75835366,75849766,75861060,75873128,0.024522093,0,0,0,0,0,0,0
Dilithium5.out,17261083,17283415,17294353,17311345,17340777,17352130,17362675,17369812,17375041,17389495,17402778,17404583,0.005496716,0,0,0,0,0,0,0
Dilithium5.out,52623817,52645188,52658271,52698670,52754212,52761989,52782100,52786107,52815139,52845156,52872501,52881756,0.016809409,10464.0,6144.0,808.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,60255163,60331044,60435513,60604694,60762321,60959025,61157361,61293552,61377169,61420610,61446288,61463912,0.020124921,4.0,0.0,0.0,4.0,0.0,0.0,12.0
Dilithium5.out,65442175,58931926,58889559,60837327,62818884,62783096,72838231,72759267,73025596,73179338,73181487,71251960,0.023334606,9828.0,384.0,420.0,132.0,2308.0,4224.0,48.0
Dilithium5.out,65439177,65475558,65495335,65513771,65531427,65544283,65556059,65376342,65388199,65402035,65410950,65431407,0.021363874,10464.0,5120.0,808.0,132.0,2308.0,4224.0,68.0
Dilithium5.out,105953028,105167108,103058871,103049929,100074053,100060397,72788129,72742026,71408075,23508326,18309731,18250068,0.005909247,9904.0,3584.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,19113407,19129899,19135506,19145957,19145054,19145903,19150690,19144103,19147245,19153651,19164049,19161898,0.006181525,9840.0,1536.0,492.0,132.0,2308.0,4224.0,52.0
Dilithium5.out,80527252,80975082,84143854,84162194,87319260,88273243,61472730,60634349,60608835,86241522,88734129,88862658,0.028810779,9904.0,3968.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,17733786,17783722,17824970,17843776,17848749,17839839,17863778,17873106,17884979,17896141,17906047,17917971,0.005784491,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,53037743,51187821,46765481,46377327,46363834,46345450,30784581,30740703,28928183,18596380,18483302,17146438,0.005631721,9904.0,2688.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,18287451,18317504,18326390,18342311,18354497,18363942,18408030,18437028,18491663,18521515,18549250,18553614,0.005987346,9904.0,4096.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,35717385,35743705,35759832,35770097,35758580,35768827,35839096,35854615,35863605,35881636,35890857,35894223,0.011029936,9904.0,3456.0,248.0,132.0,2308.0,4224.0,64.0
